"ELEICAO";"NOME";"CAPITAL_FAMILIAR"
3;"MARIA PERPETUA ALMEIDA";1
3;"ANTONIA LUCILEIA CRUZ RAMOS CAMARA";1
3;"REBECCA MARTINS GARCIA";1
3;"JANETE MARIA GÓES CAPIBERIBE";1
3;"JAQUELINE MARIA RORIZ";1
3;"ROSILDA DE FREITAS";1
2;"THELMA PIMENTEL FIGUEIREDO DE OLIVEIRA";1
3;"FLÁVIA CARREIRO ALBUQUERQUE MORAIS";1
3;"IRIS DE ARAUJO REZENDE MACHADO";1
3;"LAURIETE RODRIGUES DE ALMEIDA";1
3;"SUELI RANGEL SILVA VIDIGAL";1
3;"NICE LOBÃO";1
3;"ELCIONE THEREZINHA ZAHLUTH BARBALHO";1
3;"MARIA APARECIDA BORGHETTI";1
3;"IRACEMA MARIA PORTELA NUNES NOGUEIRA LIMA";1
3;"ANA LUCIA ARRAES DE ALENCAR";1
3;"OZANILDA GONDIM VITAL DO REGO";1
3;"MARIA TERESA SAENZ SURITA JUCA";1
3;"BRUNA DIAS FURLAN";1
3;"ALINE LEMOS CORREA DE OLIVEIRA ANDRADE";1
3;"JANETE ROCHA PIETÁ";1
3;"SANDRA MARIA DA ESCÓSSIA ROSADO";1
3;"MARINHA CELIA ROCHA RAUPP DE MATOS";1
3;"MARIA AUXILIADORA SEABRA REZENDE";1
2;"MARIA DO CARMO LARA PERPÉTUO";1
2;"ANDREIA ALMEIDA ZITO DOS SANTOS";1
2;"MARIA LÚCIA CARDOSO";1
2;"SANDRA MARIA DA ESCÓSSIA ROSADO";1
2;"NICE LOBAO";1
2;"JUSMARI TEREZINHA DE SOUZA OLIVEIRA";1
2;"ANTÔNIA MAGALHÃES DA CRUZ";1
2;"JANETE ROCHA PIETÁ";1
2;"ALINE LEMOS CORREA DE OLIVEIRA ANDRADE";1
2;"RITA DE CÁSSIA PASTE CAMATA";1
2;"SUELI RANGEL SILVA VIDIGAL";1
2;"ANA LÚCIA ARRAES DE ALENCAR";1
2;"MARIA PERPÉTUA ALMEIDA";1
2;"JANETE MARIA GÓES CAPIBERIBE";1
2;"MARIA LUCENIRA FERREIRA OLIVEIRA PIMENTEL";1
2;"ANA ISABEL MESQUITA DE OLIVEIRA";1
2;"ELCIONE THEREZINHA ZAHLUTH BARBALHO";1
2;"IRIS DE ARAUJO REZENDE MACHADO";1
2;"MARINHA CÉLIA ROCHA RAUPP DE MATOS";1
2;"ANGELA MARIA GOMES PORTELA";1
2;"ANGELA REGINA HEINZEN AMIN HELOU";1
2;"LUCIANA KREBS GENRO";1
2;"REBECCA MARTINS GARCIA";1
2;"VANESSA GRAZZIOTIN";1
1;"ELANI COSTA THEOPHILO";1
1;"MARIA LUCIA NETTO DOS SANTOS";1
1;"ALMERINDA FILGUEIRAS DE CARVALHO";1
1;"MARIA LAURA MONTEZA DE SOUZA CARNEIRO";1
1;"NICE LOBAO";1
1;"TEREZINHA DAS NEVES PEREIRA";1
1;"MARIA DO CARMO LARA PERPÉTUO";1
1;"EDNA BEZERRA SAMPAIO FERNANDES";1
1;"TELMA SANDRA AUGUSTO DE SOUZA";1
1;"THELMA PIMENTEL FIGUEIREDO DE OLIVEIRA";1
1;"CELCITA ROSA PINHEIRO DA SILVA";1
1;"MARIA PERPETUA ALMEIDA";1
1;"ANN CLÉLIA DE BARROS PONTES";1
1;"JANETE MARIA GÓES CAPIBERIBE";1
1;"MARINHA CELIA ROCHA RAUPP DE MATOS";1
1;"MARIA SUELY SILVA CAMPOS";1
1;"ANTONIA LÚCIA NAVARRO BRAGA";1
1;"LUCIANA KREBS GENRO";1
1;"NEIVA TERESINHA MARQUES";1
1;"VANESSA GRAZZIOTIN";1
1;"SANDRA MARIA DA ESCOSSIA ROSADO";1
